date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:49	5177/5177	---M--	404	error ('Not%20Found')	text/html		http://127.0.0.1:8000/robots.txt		(from )
09:30:50	27462/27462	---M--	200	added ('OK')	text/html		http://127.0.0.1:8000/	quidely_landing/quidely_landing/127.0.0.1_8000/index.html	(from )
09:30:51	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Tue,%2017%20Nov%202015%2011:47:50%20GMT	http://127.0.0.1:8000/static/img/favicon.ico	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/favicon.ico	(from http://127.0.0.1:8000/)
09:30:51	504/504	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202015%2011:38:26%20GMT	http://127.0.0.1:8000/static/img/apple-touch-icon-57x57-precomposed.png	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/apple-touch-icon-57x57-precomposed.png	(from http://127.0.0.1:8000/)
09:30:52	624/624	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202015%2011:38:06%20GMT	http://127.0.0.1:8000/static/img/apple-touch-icon-72x72-precomposed.png	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/apple-touch-icon-72x72-precomposed.png	(from http://127.0.0.1:8000/)
09:30:53	903/903	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202015%2011:37:48%20GMT	http://127.0.0.1:8000/static/img/apple-touch-icon-114x114-precomposed.png	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/apple-touch-icon-114x114-precomposed.png	(from http://127.0.0.1:8000/)
09:30:54	1077/1077	---M--	200	added ('OK')	image/png	date:Tue,%2017%20Nov%202015%2011:37:18%20GMT	http://127.0.0.1:8000/static/img/apple-touch-icon-144x144-precomposed.png	quidely_landing/quidely_landing/127.0.0.1_8000/static/img/apple-touch-icon-144x144-precomposed.png	(from http://127.0.0.1:8000/)
09:30:55	53431/53431	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Jan%202015%2011:09:28%20GMT	http://127.0.0.1:8000/static/css/animate.min.css	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/animate.min.css	(from http://127.0.0.1:8000/)
09:30:59	121266/121266	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Oct%202020%2015:29:21%20GMT	http://127.0.0.1:8000/static/css/bootstrap.min.css	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/bootstrap.min.css	(from http://127.0.0.1:8000/)
09:31:00	7114/7114	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Oct%202020%2015:54:38%20GMT	http://127.0.0.1:8000/static/css/menu.css	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/menu.css	(from http://127.0.0.1:8000/)
09:31:00	61896/61896	---M--	200	added ('OK')	text/css	date:Sat,%2017%20Oct%202020%2007:23:42%20GMT	http://127.0.0.1:8000/static/css/style.css	quidely_landing/quidely_landing/127.0.0.1_8000/static/css/style.css	(from http://127.0.0.1:8000/)
